ID,Nombre común,Nombre científico,Tipo,Fecha de registro,Origen/Procedencia,Ubicación actual,Luz (condiciones),Riego,Temperatura ideal,Humedad recomendada,Sustrato usado,Última revisión,Estado actual,Observaciones,Historial,,,,,,,,,
P001,Singonio,Syngonium podophyllum,Planta de interior tropical, trepadora,12/10/2025,Selvas tropicales de América Central y del Sur,Interior, junto a ventana con luz filtrada,Luz brillante indirecta, tolera sombra parcial. Evitar sol directo,Moderado, mantener el sustrato ligeramente húmedo, sin encharcar. Dejar secar la capa superior,18–28 °C,Media–alta (60–80 %),Mezcla aireada con turba, perlita y corteza,12/10/2025,Sano y vigoroso. Hojas grandes, bien coloreadas, sin signos de plagas,El tutor con fibra de coco proporciona buen soporte. Próxima revisión en 3–4 semanas para observar brotes nuevos.,12/10/2025 — Registro inicial. Planta sana, hojas en expansión.
P002,Palmera de salón,Chamaedorea elegans,Planta de interior tropical, palmera pequeña,12/10/2025,México y Guatemala,Interior, zona luminosa sin sol directo,Luz brillante filtrada o sombra parcial,Moderado, mantener el sustrato ligeramente húmedo, evitar encharcar,18–26 °C,Media–alta, pulverizar en ambientes secos,Turba + perlita + compost vegetal,12/10/2025,Sano, con puntas marrones leves (falta de humedad o exceso de sales),Retirar hojas secas o puntas dañadas. Regar con agua filtrada o reposada.,12/10/2025 — Buen crecimiento, puntas secas leves.,,
P003,Tradescantia morada,Tradescantia zebrina,Planta colgante o rastrera,12/10/2025,México y América Central,Interior, luz brillante indirecta,Abundante, sin sol directo prolongado,Regular, sustrato húmedo pero no empapado,18–28 °C,Media,Ligero y aireado con perlita,12/10/2025,Muy saludable, follaje denso y color intenso,Poda ligera cada 2 meses para mantener forma.,12/10/2025 — Excelente vigor.,,,,,
P004,Cinta,Chlorophytum comosum,Herbácea perenne de interior,12/10/2025,Sudáfrica,Interior, estante luminoso,Brillante indirecta,Moderado, regar cuando se seca la capa superior,16–27 °C,Media,Universal con buen drenaje,12/10/2025,Follaje largo y saludable, algunas puntas secas leves,El exceso de sales o cloro causa puntas marrones. Genera hijuelos con facilidad.,12/10/2025 — Crecimiento activo.,,,,,,
P005,Begonia maculata,Begonia maculata,Planta ornamental de interior,12/10/2025,Brasil,Interior con buena luz difusa,Brillante indirecta,Moderado, no dejar secar por completo ni encharcar,20–26 °C,Alta (70–80 %),Turba + perlita + corteza,12/10/2025,Hojas sanas, con algunos daños mecánicos leves,Evitar mojar hojas al regar. Añadir humidificador cercano.,12/10/2025 — Planta estable y adaptada.,,,,,,,
P006,Ficus elástica variegata,Ficus elastica ‘Tineke’,Planta arbustiva tropical,12/10/2025,India y Malasia,Interior, junto a ventana con luz filtrada,Brillante indirecta,Espaciado, dejar secar la capa superior,18–30 °C,Media,Universal + perlita + fibra de coco,12/10/2025,Leve estrés por sequedad o exceso de sol (bordes amarillos),Evitar sol directo fuerte. Controlar humedad ambiental.,12/10/2025 — En recuperación, hojas firmes.,,,,,,
P007,Haworthia,Haworthia fasciata,Suculenta de interior,12/10/2025,Sudáfrica,Interior, estante luminoso,Brillante indirecta o sol suave,Escaso, solo cuando el sustrato esté completamente seco,18–26 °C,Baja,Mineral con arena y perlita,12/10/2025,Sano, compacto y bien formado,Evitar exceso de agua. Buen candidato para reproducción por hijuelos.,12/10/2025 — Planta saludable.,,,,,,
P008,Cinta joven,Chlorophytum comosum,Hijuelo de cinta adulta,12/10/2025,Propagación doméstica,Interior, maceta amarilla,Brillante indirecta,Moderado,16–27 °C,Media,Universal aireado,12/10/2025,Muy saludable, hojas vigorosas,Mantener riego regular hasta afianzarse.,12/10/2025 — Enraizando bien.,,,,,,,
P009,Adenio o rosa del desierto,Adenium obesum,Arbusto suculento,12/10/2025,África y Arabia,Interior muy luminoso,Mucha luz, tolera sol directo,Escaso, dejar secar completamente entre riegos,20–30 °C,Baja,Arenoso con excelente drenaje,12/10/2025,Sano, con brotes nuevos visibles,En invierno reducir riego al mínimo.,12/10/2025 — Brotes activos.,,,,,,
P010,Poto dorado,Epipremnum aureum,Planta trepadora tropical,12/10/2025,Islas Salomón,Interior, estante luminoso,Brillante indirecta o semisombra,Moderado, dejar secar capa superior entre riegos,18–28 °C,Media,Universal aireado con perlita,12/10/2025,Hojas sanas, algunas puntas secas,Recortar tallos largos para estimular ramificación.,12/10/2025 — Planta en expansión.,,,,,,
